dataset,group,n_users,n_pairs,epi_mean,epi_std,ale_mean,ale_std,total_mean,epi_ratio
last-fm,warm,200,20000,206653897.39592102,21131869238.775738,0.0001527671908680718,0.003149632308582641,206653897.39594883,0.9999999999992608
last-fm,hot,200,20000,108623504.85511763,11235841331.536821,0.0002601440808908285,0.006273022200757202,108623504.85516861,0.9999999999976049
